addr	conf	name	ret	conv	params	note
1000f9a0	H	crt_locale.c___crtGetLocaleInfoW_FUN_1000f9a0	int	__cdecl	LCID lcid, LCTYPE lc_type, LPWSTR dest, int cch, UINT code_page	GetLocaleInfoW/A + MB2WC fallback
1000fad0	H	crt_locale.c___crtGetLocaleInfoA_FUN_1000fad0	int	__cdecl	LCID lcid, LCTYPE lc_type, LPSTR dest, int cch, UINT code_page	GetLocaleInfoA/W + WC2MB fallback
1000fc10	H	crt_stdlib.c_wcstol_FUN_1000fc10	long	__cdecl	wchar_t* nptr, wchar_t** endptr, int base	flags=0 signed -> wcstoxl
1000fc30	H	crt_stdlib.c_wcstoxl_FUN_1000fc30	ulong	__cdecl	wchar_t* nptr, wchar_t** endptr, int base, int flags	wide input, iswctype _SPACE core
1000fe40	H	crt_stdlib.c_wcstoul_FUN_1000fe40	ulong	__cdecl	wchar_t* nptr, wchar_t** endptr, int base	flags=1 unsigned -> wcstoxl
1000fe60	H	crt_stdlib.c_atol_FUN_1000fe60	long	__cdecl	const char* str	signed parser (_SPACE/sign/_DIGIT); `atoi` (1000ff10) tail-calls it
1000ff10	H	crt_stdlib.c_atoi_FUN_1000ff10	int	__cdecl	char* str	tail-calls atol (1000fe60)
1000ff20	H	crt_string.c__stricmp_FUN_1000ff20	int	__cdecl	char* str1, char* str2	__tolower_lk under lock
1000fff0	M	crt_time.c___tzset_FUN_1000fff0	void	__cdecl	void	once-flag guard + __lock(11) -> tzset worker
10010050	H	crt_time.c__tzset_FUN_10010050	void	__cdecl	void	GetTimeZoneInformation + "TZ" + getenv + wcstombs
10010330	M	crt_time.c__isindst_FUN_10010330	int	__cdecl	tm* tb	locks _TIME_LOCK -> isindst worker
10010360	H	crt_time.c__isindst_lk_FUN_10010360	int	__cdecl	tm* tb	tm_year vs cached-year, DST rule globals
100105c0	H	crt_time.c_cvtdate_FUN_100105c0	time_t	__cdecl	int trantype, int datetype, int year, int month, int week, int weekday, int date, int hour, int min, int sec, int msec	11 args, days/lpdays, weekday
10010750	H	crt_ctype.c_towupper_FUN_10010750	wint_t	__cdecl	wint_t c	C-locale a-z->A-Z fast path, wide
100107d0	H	crt_ctype.c__towupper_FUN_100107d0	wint_t	__cdecl	wint_t c	iswctype(_LOWER)+LCMapStringW UPPERCASE
10010870	H	crt_ctype.c_iswctype_FUN_10010870	int	__cdecl	wint_t c, wctype_t mask	_pwctype table&mask, else GetStringTypeW
100108f0	M	crt_ctype.c_is_wctype_FUN_100108f0	int	__cdecl	wint_t c, wctype_t mask	deprecated alias -> iswctype
10010910	H	crt_stdlib.c_wcstombs_FUN_10010910	size_t	__cdecl	char* mbstr, wchar_t* wcstr, size_t count	locale-lock wrapper over worker
10010970	H	crt_stdlib.c__wcstombs_lk_FUN_10010970	size_t	__cdecl	char* mbstr, wchar_t* wcstr, size_t count	WideCharToMultiByte loop, errno EILSEQ
10010be0	H	crt_string.c__wcsnlen_FUN_10010be0	size_t	__cdecl	const wchar_t* str, size_t max	bounded wide strlen, returns count+1 if NUL within max
10010c20	H	crt_env.c_getenv_FUN_10010c20	char *	__cdecl	char* name	locks _ENV_LOCK, worker=10010c50; called w/ "TZ"
10010c50	M	crt_env.c_getenv_FUN_10010c50	char *	__cdecl	char* name	scans _environ, returns ptr past '='
10010cf0	H	crt_env.c___env_compare_FUN_10010cf0	int	__cdecl	const char* s1, const char* s2, int len	__crtCompareStringA(NORM_IGNORECASE), returns result-2
10010d30	H	crt_env.c__build_ansi_environ_FUN_10010d30	int	__cdecl	void	wide _wenviron -> ANSI via WideCharToMultiByte(OEMCP) + __crtsetenv
10010dc0	H	crt_locale.c___crtCompareStringA_v2_FUN_10010dc0	int	__cdecl	LCID lcid, DWORD flags, LPCSTR str1, int cch1, LPCSTR str2, int cch2, UINT code_page	CompareStringW->CompareStringA fallback (2nd variant)
10011000	M	crt_string.c_wcsnlen_v3_FUN_10011000	int	__cdecl	wchar_t* str, int max	bounded wide length; dup family
10011040	H	crt_locale.c___crtCompareStringA_FUN_10011040	int	__cdecl	LCID lcid, DWORD flags, LPCSTR str1, int cch1, LPCSTR str2, int cch2, int code_page	CompareStringA/W,GetCPInfo,MultiByteToWideChar
10011330	M	crt_string.c_strncnt_FUN_10011330	int	__cdecl	char* str, int count	count-bytes-to-nul helper for __crtCompareStringA
10011360	H	crt_env.c___crtsetenv_FUN_10011360	int	__cdecl	const char* option, int primary	SetEnvironmentVariableA + findenv/realloc
100115b0	M	crt_env.c_findenv_FUN_100115b0	int	__cdecl	const char* name, int len	scans _environ, returns index
10011610	M	crt_env.c_copy_environ_FUN_10011610	char**	__cdecl	char** oldenviron	malloc(n*4+4), strdup each, __amsg_exit(9)
10011680	H	crt_heap.c_realloc_FUN_10011680	void*	__cdecl	void* ptr, size_t size	HeapReAlloc + __callnewh retry
100116f0	M	crt_string.c__mbschr_FUN_100116f0	uchar *	__cdecl	uchar* str, uint c	mbcs gate -> strchr / leadbyte scan
100117b0	H	crt_string.c__strdup_FUN_100117b0	char*	__cdecl	const char* s	strlen+1 -> malloc -> strcpy
100117f0	H	crt_string.c_strchr_FUN_100117f0	char*	__cdecl	const char* s, int c	word-aligned char scan
100118b0	H	crt_string.c_strlen_FUN_100118b0	size_t	__cdecl	const char* s	0x7efefeff word-length magic
10011930	H	crt_string.c_strcpy_FUN_10011930	char*	__cdecl	char* dst, const char* src	0x7efefeff word-copy magic
